op_unique_carrier,origin,dest,dep_hour,flights
AA,BOI,DFW,11,5
AA,BOI,DFW,15,6
AA,BOS,AUS,12,5
AA,BOS,AUS,19,6
AA,BOS,CLT,5,5
AA,BOS,CLT,7,6
AA,BOS,CLT,8,5
AA,BOS,CLT,9,6
AA,BOS,CLT,10,6
AA,BOS,CLT,14,6
AA,BOS,CLT,16,6
AA,BOS,CLT,18,4
AA,BOS,DCA,5,6
AA,BOS,DCA,10,3
AA,BOS,DCA,15,5
AA,BOS,DCA,17,4
AA,BOS,DCA,20,2
AA,BOS,DFW,5,6
AA,BOS,DFW,7,6
AA,BOS,DFW,9,5
AA,BOS,DFW,12,6
AA,BOS,DFW,14,5
AA,BOS,DFW,18,4
AA,BOS,LAX,7,6
AA,BOS,LAX,18,3
AA,BOS,LGA,6,6
AA,BOS,LGA,10,3
AA,BOS,LGA,14,3
AA,BOS,LGA,18,3
AA,BOS,LGA,19,3
AA,BOS,MIA,5,6
AA,BOS,MIA,6,6
AA,BOS,MIA,7,6
AA,BOS,MIA,10,5
AA,BOS,MIA,12,6
AA,BOS,MIA,15,4
AA,BOS,MIA,17,6
AA,BOS,ORD,6,6
AA,BOS,ORD,8,5
AA,BOS,ORD,17,4
AA,BOS,PHL,5,5
AA,BOS,PHL,7,6
AA,BOS,PHL,8,6
AA,BOS,PHL,12,6
AA,BOS,PHL,17,6
AA,BOS,PHX,6,6
AA,BOS,PHX,9,6
AA,BOS,PHX,12,6
AA,BOS,PHX,16,6
AA,BUF,CLT,6,6
AA,BUF,CLT,11,6
AA,BUF,CLT,19,4
AA,BUF,DFW,6,6
AA,BUF,MIA,6,6
AA,BUR,DFW,7,6
AA,BUR,DFW,12,6
AA,BUR,PHX,9,4
AA,BUR,PHX,13,6
AA,BUR,PHX,19,4
AA,BWI,CLT,5,5
AA,BWI,CLT,6,6
AA,BWI,CLT,9,6
AA,BWI,CLT,13,6
AA,BWI,CLT,19,4
AA,BWI,DFW,6,6
AA,BWI,DFW,15,6
AA,BWI,DFW,19,4
AA,BWI,MIA,6,6
AA,BWI,ORD,7,6
AA,BZN,DFW,11,6
AA,BZN,DFW,15,6
AA,BZN,ORD,13,6
AA,CAE,DFW,5,6
AA,CAE,DFW,17,6
AA,CHS,CLT,5,5
AA,CHS,CLT,6,6
AA,CHS,CLT,9,6
AA,CHS,CLT,11,5
AA,CHS,DFW,7,6
AA,CHS,DFW,15,5
AA,CHS,DFW,19,4
AA,CHS,MIA,6,6
AA,CHS,MIA,18,6
AA,CHS,PHL,18,6
AA,CID,CLT,7,6
AA,CID,DFW,5,6
AA,CID,DFW,19,4
AA,CID,PHX,14,6
AA,CLE,CLT,6,5
AA,CLE,CLT,8,6
AA,CLE,CLT,9,6
AA,CLE,CLT,14,6
AA,CLE,CLT,17,6
AA,CLE,DFW,5,6
AA,CLE,DFW,9,6
AA,CLE,DFW,13,6
AA,CLE,DFW,17,6
AA,CLE,MIA,6,6
AA,CLE,ORD,6,3
AA,CLE,ORD,8,3
AA,CLE,PHX,7,6
AA,CLT,ALB,9,5
AA,CLT,ALB,14,6
AA,CLT,ALB,20,6
AA,CLT,ATL,17,2
AA,CLT,ATL,20,6
AA,CLT,ATL,22,4
AA,CLT,AUS,9,6
AA,CLT,AUS,11,5
AA,CLT,AUS,14,6
AA,CLT,AUS,17,4
AA,CLT,AUS,21,6
AA,CLT,AVP,14,5
AA,CLT,AVP,20,6
AA,CLT,BDL,7,5
AA,CLT,BDL,12,6
AA,CLT,BDL,16,5
AA,CLT,BDL,20,6
AA,CLT,BDL,22,4
AA,CLT,BNA,9,5
AA,CLT,BNA,18,4
AA,CLT,BNA,20,6
AA,CLT,BNA,22,6
